name,image_url,url,review count,rating,snippet,neighborhood,latitude,longitude,category,type
21st Street Coffee And Tea,http://s3-media1.fl.yelpcdn.com/bphoto/l2XybXUHmdaHGhX9Ju8HZw/ms.jpg,http://www.yelp.com/biz/21st-street-coffee-and-tea-pittsburgh-2?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,36,4,"The best espresso downtown by far.

This is my favorite espresso in the city. 21st is on point. They serve it with a small glass of sparkling water.

The...",Downtown,40.44131,-80.00121,coffee,food
Acacia,http://s3-media2.fl.yelpcdn.com/bphoto/yY7ESIgVEh7oPc-Qg06O3g/ms.jpg,http://www.yelp.com/biz/acacia-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,83,4.5,"I give 5 stars for their cocktails, the concept, and its contribution to Pittsburgh's ongoing culinary and libation revolution.

There's an element of...",South Side,40.428219,-79.97583,nightlife,nightlife
Aiello's Pizza,http://s3-media1.fl.yelpcdn.com/bphoto/nJ2hFjoVlItASy7XvB1Isw/ms.jpg,http://www.yelp.com/biz/aiellos-pizza-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,130,4,"Really awesome pizza. You can argue about the merits of other pizza shops, but the sauce on Aiello's is great, and I love the crust.

Bring cash, get take...",Squirrel Hill,40.4332619,-79.9232407,pizza,food
All India,http://s3-media4.fl.yelpcdn.com/bphoto/sNQxbobk6466drV-Icb4YA/ms.jpg,http://www.yelp.com/biz/all-india-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,73,4,All India was quite the experience! My chalice glass was constantly full of water and the atmosphere was amazing! With Indian dance videos playing in the...,Oakland,40.4521894,-79.9525714,indpak,food
Alla Famiglia,http://s3-media3.fl.yelpcdn.com/bphoto/63ZjoYaiX_Fg9NiqDDzN9Q/ms.jpg,http://www.yelp.com/biz/alla-famiglia-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,106,4.5,"Our experience last night at Alla Famiglia for Alicia's, my fiance's birthday, has changed my view of restaurants, food, service and ambiance in this...",Allentown,40.4216118,-79.9934616,italian,food
Allegheny Coffee & Tea Exchange,http://s3-media1.fl.yelpcdn.com/bphoto/BriYfBWkU8OC8VMoYSGLkA/ms.jpg,http://www.yelp.com/biz/allegheny-coffee-and-tea-exchange-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,35,4,"Not only does the coffee taste great, it's not overpriced, and the employees are always friendly.

No matter how full I am after visiting one of the great...",Strip District,40.4513403,-79.9838608,coffee,food
Allegheny Sandwich Shoppe,http://s3-media2.fl.yelpcdn.com/bphoto/ssLPWZJroyAo5TTh1-FdBw/ms.jpg,http://www.yelp.com/biz/allegheny-sandwich-shoppe-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,19,4,"One of the best diners around--great traditional breakfast and lunch dishes, and a homey, comfortable atmosphere (and neat as a pin and super clean and...",North Side,40.4523081,-80.0150592,sandwiches,food
Allegro Hearth Bakery,http://s3-media4.fl.yelpcdn.com/bphoto/j1rnxRs4yWbl0sijAEq7DQ/ms.jpg,http://www.yelp.com/biz/allegro-hearth-bakery-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,52,4.5,"We have a weekly ongoing order sourdough pick up and it's awesome but you know what's not so awesome after the initial awesomeness wears off?

Their fucking...",Squirrel Hill,40.43384215,-79.92308241,bakeries,food
Altius,http://s3-media1.fl.yelpcdn.com/bphoto/dUnH5M4rxTn6KMBUnj8kfA/ms.jpg,http://www.yelp.com/biz/altius-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,162,4.5,"After 3 failed attempts (due to weather), we finally succeeded! Yay, us! This was my last week in Pittsburgh for work so we decided this was a must do...",Duquesne Heights,40.438556,-80.019299,newamerican,food
Amazing Cafe,http://s3-media1.fl.yelpcdn.com/bphoto/MRs4DuFdoUOT3i9myDVjjw/ms.jpg,http://www.yelp.com/biz/amazing-cafe-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,53,5,"The Amazing Cafe is a completely organic restaurant located in the 1500 block of East Carson St. The place is small but nicely arranged.

Since my visit was...",South Side,40.42868,-79.98312,cafes,food
